Country,Legal Status,Citation Date,Log Price,Log Volume
Singapore,Legal,2013-12-24,"[6.678342114654332, 6.850338008112186]","[10.163926888594034, 7.585788821732034]"
Slovakia,Legal,2015-04-02,"[5.6369301676683605, 5.4608612957333165]","[12.012609248317375, 10.520833019679792]"
Slovakia,Legal,2015-03-24,"[5.462559809942086, 5.461286194826176]","[11.23453343942554, 10.656082191739493]"
Slovenia,Legal,,[],[]
South Africa,Legal,2018-05-22,"[9.083268074412398, 8.814033201652784]","[11.994672371235552, 11.50580014002764]"
South Africa,Legal,,[],[]
South Korea,Legal,2020-03-05,"[9.126295499648332, 8.833083640131607]","[13.387308922882239, 13.864300722133706]"
South Korea,Legal,2018-09-29,"[8.852765022794285, 8.75384509275524]","[15.134596169390715, 11.986173824380852]"
Spain,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Sweden,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Switzerland,Legal,2013-12-27,"[6.984623723238714, 6.914730892718563]","[10.541650424763313, 9.478074806618269]"
Switzerland,Legal,2014-06-25,"[6.366470447731438, 6.397762641520038]","[7.992944547318106, 8.68609172787805]"
Switzerland,Legal,2014-11-28,"[5.814428994743265, 5.757323241584231]","[9.414097209490203, 9.92378025580389]"
Switzerland,Legal,2017-01-15,"[6.661854740545311, 6.9160210233991695]","[10.225933304924201, 10.585068096724608]"
Switzerland,Legal,2017-01-05,"[6.6309472030822345, 6.939060128810549]","[10.417208979414145, 10.583042779576607]"
Switzerland,Legal,2015-02-11,"[5.595825999817554, 5.660178837174069]","[10.142110674698724, 11.485965283387445]"
Switzerland,Legal,2015-02-26,"[5.573294066502264, 5.529429087511423]","[10.824964811097583, 10.9161787786966]"
Switzerland,Legal,2014-04-16,"[6.407539834328162, 6.117215752413542]","[8.183118079394745, 7.473069088032197]"
Switzerland,Legal,2013-12-23,"[6.724433221854599, 6.85751406254539]","[9.966931725092662, 8.472195825485501]"
Switzerland,Legal,2014-03-28,"[6.385363018844681, 6.094021135433074]","[6.396929655216146, 8.847934753328465]"
Switzerland,Legal,2016-07-01,"[6.286742696181391, 6.432779308109843]","[11.190099690382866, 11.04914244753755]"
Switzerland,Legal,2016-09-20,"[6.364234272378004, 6.443017759408901]","[9.558176367247711, 9.949416484424528]"
Taiwan,Legal /  Banking ban,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Taiwan,Legal /  Banking ban,2014-01-05,"[6.739336627357174, 6.831521972982548]","[10.887810694802111, 8.435983135990694]"
Taiwan,Legal /  Banking ban,2014-01-18,"[6.595780513961311, 5.606904399679714]","[10.731165626053679, 10.8481713589115]"
Taiwan,Legal /  Banking ban,2013-12-31,"[6.91214562728343, 6.847368128967042]","[11.288781413322436, 8.599694412927981]"
