"","hits","date","keyword","geo","time","gprop","category"
"349","26",2023-03-22 16:48:00,"Bitcoin","IN","now 1-d","web",0
"350","25",2023-03-22 16:56:00,"Bitcoin","IN","now 1-d","web",0
"351","28",2023-03-22 17:04:00,"Bitcoin","IN","now 1-d","web",0
"352","24",2023-03-22 17:12:00,"Bitcoin","IN","now 1-d","web",0
"353","25",2023-03-22 17:20:00,"Bitcoin","IN","now 1-d","web",0
"354","25",2023-03-22 17:28:00,"Bitcoin","IN","now 1-d","web",0
"355","24",2023-03-22 17:36:00,"Bitcoin","IN","now 1-d","web",0
"356","26",2023-03-22 17:44:00,"Bitcoin","IN","now 1-d","web",0
"357","31",2023-03-22 17:52:00,"Bitcoin","IN","now 1-d","web",0
"358","35",2023-03-22 18:00:00,"Bitcoin","IN","now 1-d","web",0
