snapped_at,price (open),market_cap,total_volume
2022-04-16 00:00:00 UTC,0.115703035,2287371.622,429.8620587
2022-04-17 00:00:00 UTC,0.114092521,2258182.001,362.213436
2022-04-18 00:00:00 UTC,0.113720154,2248129.669,142.3526655
2022-04-19 00:00:00 UTC,0.110364246,2181827.336,120.7414248
2022-04-20 00:00:00 UTC,0.115367139,2279037.821,107.5218031
2022-04-21 00:00:00 UTC,0.111282851,2204032.2,393.2094526
2022-04-22 00:00:00 UTC,0.107334736,2121935.942,271.7942491
2022-04-23 00:00:00 UTC,0.10543175,2082059.64,86.97463382
2022-04-24 00:00:00 UTC,0.103984035,2056373.398,168.390851
2022-04-25 00:00:00 UTC,0.114468415,2267039.92,355.0357929
2022-04-26 00:00:00 UTC,0.108518509,2145338.355,542.064393
2022-04-27 00:00:00 UTC,0.110618029,2186844.462,218.8236146
2022-04-28 00:00:00 UTC,0.118882853,2350234.499,564.1075371
2022-04-29 00:00:00 UTC,0.114075375,2255193.871,276.2565724
2022-04-30 00:00:00 UTC,0.119802317,2369887.012,340.8674297
2022-05-01 00:00:00 UTC,0.113444254,2242345.942,98.44682176
2022-05-02 00:00:00 UTC,0.115922515,2291710.597,83.79995803
2022-05-03 00:00:00 UTC,0.127265409,2515952.03,847.6949954
2022-05-04 00:00:00 UTC,0.127994598,2531531.733,428.8493541
2022-05-05 00:00:00 UTC,0.127174911,2514162.944,776.7600745
2022-05-06 00:00:00 UTC,0.124385976,2456183.634,347.6072575
2022-05-07 00:00:00 UTC,0.12305182,2434478.662,238.1501722
2022-05-08 00:00:00 UTC,0.120640518,2388679.855,295.5258394
2022-05-09 00:00:00 UTC,0.109968897,2177035.072,263.2512596
2022-05-10 00:00:00 UTC,0.116534121,2303801.64,1842.911761
2022-05-11 00:00:00 UTC,0.098561721,1948292.408,88.46035055
2022-05-12 00:00:00 UTC,0.111603142,1976248.973,471.6477439
2022-05-13 00:00:00 UTC,0.104090814,2055536.162,372.4848466
2022-05-14 00:00:00 UTC,0.096377627,1905321.238,187.3947523
2022-05-15 00:00:00 UTC,0.106843595,2112226.429,128.8006551
2022-05-16 00:00:00 UTC,0.106714482,2109673.95,73.22010615
2022-05-17 00:00:00 UTC,0.103267345,2045253.166,125.4022299
2022-05-18 00:00:00 UTC,0.107046988,2117097.433,188.8641682
2022-05-19 00:00:00 UTC,0.098615976,1949571.889,131.7311978
2022-05-20 00:00:00 UTC,0.098662535,1943929.671,86.12902244
2022-05-21 00:00:00 UTC,0.093365065,1845764.898,87.72963976
2022-05-22 00:00:00 UTC,0.089033002,1761954.901,350.8406139
2022-05-23 00:00:00 UTC,0.083200786,1644823.894,177.9060068
2022-05-24 00:00:00 UTC,0.081100637,1602402.533,93.62566328
2022-05-25 00:00:00 UTC,0.085148668,1683332.22,23.01808659
2022-05-26 00:00:00 UTC,0.104788259,2071944.316,716.3728798
2022-05-27 00:00:00 UTC,0.086258716,1705277.134,186.0063046
2022-05-28 00:00:00 UTC,0.083640524,1653664.238,27.11325667
2022-05-29 00:00:00 UTC,0.083216914,1645142.738,138.9024091
2022-05-30 00:00:00 UTC,0.081350126,1608469.154,81.54497804
2022-05-31 00:00:00 UTC,0.087305178,1725964.975,85.04187047
2022-06-01 00:00:00 UTC,0.077368292,1529519.386,142.0699694
2022-06-02 00:00:00 UTC,0.098361044,1944532.07,2953.964825
2022-06-03 00:00:00 UTC,0.107064564,2116594.839,367.8025817
2022-06-04 00:00:00 UTC,0.088565925,1750889.1,38.81803638
2022-06-05 00:00:00 UTC,0.090160959,1780107.687,46.82730415
2022-06-06 00:00:00 UTC,0.087410451,1728046.16,29.76951885
2022-06-07 00:00:00 UTC,0.086901153,1717977.678,145.9642365
2022-06-08 00:00:00 UTC,0.087195907,1723804.772,25.9048119
2022-06-09 00:00:00 UTC,0.083747569,1655633.426,61.36022686
2022-06-10 00:00:00 UTC,0.082186445,1624604.053,39.71060646
2022-06-11 00:00:00 UTC,0.079427063,1570219.913,6.439030769
2022-06-12 00:00:00 UTC,0.075748806,1496193.507,84.7949864
2022-06-13 00:00:00 UTC,0.094526226,1878928.795,1014.163646
2022-06-14 00:00:00 UTC,0.08431853,1661109.539,1049.439002
2022-06-15 00:00:00 UTC,0.090465693,1788446.256,238.33657
2022-06-16 00:00:00 UTC,0.086844447,1714999.322,62.37250022
2022-06-17 00:00:00 UTC,0.074939165,1481497.185,158.957067
2022-06-18 00:00:00 UTC,0.075445724,1489183.338,100.7487654
2022-06-19 00:00:00 UTC,0.096528925,1908312.293,433.1617063
2022-06-20 00:00:00 UTC,0.076785202,1511948.282,34.80865748
2022-06-21 00:00:00 UTC,0.087720976,1734185.035,344.2337027
2022-06-22 00:00:00 UTC,0.083836837,1654320.855,130.7052529
2022-06-23 00:00:00 UTC,0.095926322,1900247.29,709.6215184
2022-06-24 00:00:00 UTC,0.08519701,1684287.908,101.9216423
2022-06-25 00:00:00 UTC,0.083541996,1650010.766,75.54127383
2022-06-26 00:00:00 UTC,0.085379798,1685121.874,187.1260322
2022-06-27 00:00:00 UTC,0.083229033,1645382.331,179.1318103
2022-06-28 00:00:00 UTC,0.079479692,1571260.357,118.19532
