Timezones are UTC,https://www.CryptoDataDownload.com,,,,,,,
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume MON,Volume AJPY
1524528000,4/24/2018,MONAJPY,439.5,497,437.9,497,169959,77577404.2
1524441600,4/23/2018,MONAJPY,430,441.3,430,439.5,63796,27864978.6
1524355200,4/22/2018,MONAJPY,428.6,444,425.1,430,60531,26266879.5
1524268800,4/21/2018,MONAJPY,452.2,454.3,408,428.6,173069,75032730.3
1524182400,4/20/2018,MONAJPY,436.6,468,417.2,452.2,201872,88735052.2
1524096000,4/19/2018,MONAJPY,404.8,441.2,396.6,436.6,244846,102392638
1524009600,4/18/2018,MONAJPY,374,404.9,372.5,404.8,91833,35964100.6
1523923200,4/17/2018,MONAJPY,383.9,390,360.6,374,72873,27424056.7
1523836800,4/16/2018,MONAJPY,406,408.9,378,383.9,80830,31605232.9
1523750400,4/15/2018,MONAJPY,387.7,408.2,384.4,406,97108,38314152.8
1523664000,4/14/2018,MONAJPY,382.6,392.4,380,387.7,57851,22338699.8
1523577600,4/13/2018,MONAJPY,397.8,430,375.5,382.6,182186,72069266.8
1523491200,4/12/2018,MONAJPY,358.3,397.9,348,397.8,98589,36342297.8
1523404800,4/11/2018,MONAJPY,350.6,359.8,350,358.3,38136,13522925
1523318400,4/10/2018,MONAJPY,348.8,354.4,341,350.6,41366,14419552.8
1523232000,4/9/2018,MONAJPY,352.5,364.9,340.5,348.8,88400,31131960
1523145600,4/8/2018,MONAJPY,352.6,354.5,348.5,352.5,66043,23190778.4
1523059200,4/7/2018,MONAJPY,348,354,346,352.6,55548,19463907.2
1522972800,4/6/2018,MONAJPY,350.5,360,344,348,59762,20962379.5
1522886400,4/5/2018,MONAJPY,341,361.9,333.5,350.5,84487,29255869.1
1522800000,4/4/2018,MONAJPY,381.9,386.8,331,341,138628,48922344.9
1522713600,4/3/2018,MONAJPY,349,398.2,348.7,381.9,266170,99984148.8
1522627200,4/2/2018,MONAJPY,327.8,359,323.8,349,89983,30594000.7
1522540800,4/1/2018,MONAJPY,335.9,339.4,311,327.8,84400,27340863.6
1522454400,3/31/2018,MONAJPY,333.1,354.6,329.3,335.9,84576,28808235.9
1522368000,3/30/2018,MONAJPY,328,369.9,309.1,333.1,197776,65979582.8
